Date,984000^,TPXDDVD Index,GDDLKOK Index,GDLEEGF Index,SBUS70L Index,BPITTO01 Index,SBWGNJYL Index,LEGATRUU  Index,USDJPY Index,USDGBP Index,USDEUR Index,USDCNY Index,NPNCRE Index,RUGL Index,LGNMTRUU Index,SPGSCITR Index,,,HFRXGL index,SPLPEQTR Index,SPX Index,< Don't Use
1/2/1991,746.7080078125,1753.58,763.135,1282.79,201.797,#N/A N/A,181.4035,111.2186,134.6,0.5147,0.7166,5.2352,426.77,495.51,450.97,2346.026,,,#N/A N/A,#N/A N/A,326.45,
1/3/1991,746.7080078125,1753.58,763.135,1282.79,201.797,#N/A N/A,181.4035,111.2186,133.05,0.514,0.7164,5.2352,426.77,493.77,450.97,2298.345,,,#N/A N/A,#N/A N/A,321.91,
1/4/1991,746.7080078125,1760.74,763.135,1282.79,201.797,#N/A N/A,181.4035,111.2186,135.1,0.5167,0.7218,5.2352,426.77,491.78,450.97,2272.777,,,#N/A N/A,#N/A N/A,321,
1/7/1991,746.7080078125,1743.55,763.135,1282.79,201.797,#N/A N/A,181.4035,111.2186,136.7,0.5252,0.7341,5.2352,426.77,483.12,450.97,2419.693,,,#N/A N/A,#N/A N/A,315.44,
1/8/1991,746.7080078125,1697.04,763.135,1282.79,201.797,#N/A N/A,181.4035,111.2186,136.45,0.5274,0.7348,5.2352,426.77,476.18,450.97,2385.943,,,#N/A N/A,#N/A N/A,314.9,
1/9/1991,746.7080078125,1690.13,763.135,1282.79,201.797,#N/A N/A,181.4035,111.2186,134.05,0.5291,0.7276,5.2352,426.77,480.95,450.97,2421.625,,,#N/A N/A,#N/A N/A,311.49,
1/10/1991,746.7080078125,1698.2,763.135,1282.79,201.797,#N/A N/A,181.4035,111.2186,134.6,0.5223,0.7342,5.2352,426.77,483.36,450.97,2427.361,,,#N/A N/A,#N/A N/A,314.53,
1/11/1991,746.7080078125,1712.97,763.135,1282.79,201.797,#N/A N/A,181.4035,111.2186,134.25,0.5241,0.7341,5.2352,426.77,485.25,450.97,2407.804,,,#N/A N/A,#N/A N/A,315.23,
1/14/1991,746.7080078125,1714.67,763.135,1282.79,201.797,#N/A N/A,181.4035,111.2186,135.05,0.5252,0.7397,5.2352,426.77,477.02,450.97,2567.75,,,#N/A N/A,#N/A N/A,312.49,
1/15/1991,746.7080078125,1714.67,763.135,1282.79,201.797,#N/A N/A,181.4035,111.2186,135.9,0.5263,0.7395,5.2352,426.77,475.53,450.97,2512.131,,,#N/A N/A,#N/A N/A,313.73,
1/16/1991,746.7080078125,1666.33,763.135,1282.79,201.797,#N/A N/A,181.4035,111.2186,136.85,0.5244,0.7408,5.2352,426.77,470.42,450.97,2591.446,,,#N/A N/A,#N/A N/A,316.17,
1/17/1991,746.7080078125,1731.64,763.135,1282.79,201.797,#N/A N/A,181.4035,111.2186,132.88,0.5175,0.7279,5.2352,426.77,491.63,450.97,2155.222,,,#N/A N/A,#N/A N/A,327.97,
1/18/1991,746.7080078125,1756.52,763.135,1282.79,201.797,#N/A N/A,181.4035,111.2186,132.8,0.5156,0.7226,5.2352,426.77,495.82,450.97,2096.344,,,#N/A N/A,#N/A N/A,332.23,
1/21/1991,746.7080078125,1723.3,763.135,1282.79,201.797,#N/A N/A,181.4035,111.2186,132.05,0.5097,0.7158,5.2352,426.77,492.67,450.97,2145.923,,,#N/A N/A,#N/A N/A,331.06,
1/22/1991,746.7080078125,1723.58,763.135,1282.79,201.797,#N/A N/A,181.4035,111.2186,131.7,0.5141,0.7179,5.2352,426.77,494.81,450.97,2209.503,,,#N/A N/A,#N/A N/A,328.31,
1/23/1991,746.7080078125,1704.87,763.135,1282.79,201.797,#N/A N/A,181.4035,111.2186,132.41,0.5099,0.7163,5.2352,426.77,494.5,450.97,2215.183,,,#N/A N/A,#N/A N/A,330.21,
